hseb_code,school_code
4315,430140004
3911,390600025
2805,280310013
2560,250300002
2446,240510002
2425,240570002
2356,230090004
1927,190640038
1926,190050004
1207,120140003
1205,120330007
405,40010033
1662,160900014
8444,490330011
7838,270420003
7701,270310019
7521,750210009
7288,720020005
7281,720110077
7170,710010016
7016,700030015
6716,670090014
6710,670010007
5932,590400011
5812,580320001
5773,570230019
5724,570320062
5214,520200003
4893,480060757
4568,450290008
4440,440080005
3064,300030003
3033,300120007
2566,250200006
2564,250290013
2451,240060033
2434,240300003
2357,230410004
2242,220340008
1837,180750002
816,80270001
646,60010004
598,50140013
470,40140004
106,10170005
7872,270210005
7637,270310103
7427,740110006
5031,500180002
2725,270160057
2149,210330005
1976,190540002
1753,170010519
1341,130410001
8606,480140610
8421,490150002
8320,50270002
8255,400330016
8037,40110004
8033,40500028
8009,40340005
7974,270160030
7969,270520017
7950,270310686
7790,270280014
7749,270310607
7697,270310528
7601,270220015
7415,740450001
7328,730070001
7228,720100001
7130,710010010
6936,690190003
6924,690140001
6922,690040005
6915,690560001
6913,690140002
6902,690350003
6850,680110006
6832,680010007
6811,680070001
6723,670260001
6722,670010006
6714,670010005
6707,670040008
6431,640100004
6029,600350015
6001,600350001
5830,580030004
5718,570320014
5715,570250018
5124,510200012
5011,500060009
4927,490620010
4820,480120004
4743,470110002
4633,460480004
4629,460760002
4622,460550002
4614,460190001
4540,450090003
4526,450470003
4322,430400002
4303,430340004
4045,400300004
4039,400320032
4037,400320018
3990,390180006
3972,390330003
3824,380260001
3734,370120009
3661,360310010
3431,340200128
3430,340160002
3359,330020002
3357,330680007
3105,310200027
3056,300130008
3049,300010002
3040,300400002
3027,300300007
3016,300200016
3003,300410009
3001,300350015
2907,290040007
2834,280040005
2786,270310738
2766,270330005
2745,270160008
2721,270310147
2653,260120032
2585,250360005
2578,250140008
2532,250270092
2499,240360001
2445,240600008
2419,240490009
2416,240060005
2402,240230016
2344,230030008
2224,220040031
2223,220320002
2207,220400007
2062,200010004
2008,200340014
1930,190560007
1809,180600013
1663,160900021
1648,161020001
1305,130010001
1302,130420001
1203,120150002
1130,110250003
1108,110250006
1015,100030002
1011,100080006
921,90070001
734,70010004
731,70090001
728,70230007
724,70230006
718,70030008
650,60180044
604,60180013
577,50100001
480,40230001
478,40010021
457,40030015
337,30270005
324,30020012
323,30410008
217,20160001
121,10470005
8519,350050005
7925,270310401
7654,270310582
5422,540090004
4931,490090001
2514,250070008
2417,240060032
8046,40110003
7877,270310793
7794,270310537
7667,270370006
7416,740170002
7124,710010012
6911,690320001
5720,570250009
5309,530140001
4810,480310010
2852,280180005
2842,280180001
2781,270310688
2431,240010004
2342,230030003
1453,140040002
1444,140430024
814,80170011
729,70040007
675,60270060
235,20340002
3412,340620003
7807,270300004
7758,270370002
7145,710100030
6313,630040002
5646,560040026
5631,560040005
5413,540060379
4826,480010395
4569,450310036
3860,380110030
3457,340330008
2427,240760004
2007,200250041
1316,130030004
676,60180057
659,60270025
8008,40020014
7709,270310542
7456,740280002
7312,730030027
6834,680120006
6823,680150004
6815,680240005
6715,670100003
6712,670220002
6433,640260007
6304,630300003
5803,580150009
5224,520360005
5112,510180001
5004,500060003
4843,480650022
4771,470520005
4730,470530002
4401,440530009
4302,430410006
3958,390310001
3863,380080009
3729,370580005
3597,350330017
3449,340200063
3206,320910004
3051,300020013
2908,290130007
2832,280180007
2818,280130009
2806,280010002
2717,270310734
2405,240520007
2359,230560003
2218,220440006
2211,220500007
2209,220420002
2006,200180002
1430,140060008
1214,120360005
1212,120060003
1124,110010006
1111,110140005
828,80200001
719,70340008
715,70150004
707,70020008
