hseb_code,school_code
5607,560400020
5688,560400020
5617,560070019
5627,560070019
5644,560070019
5619,560400028
5624,560070017
5641,560070017
5647,560070017
5662,560070017
5628,560190017
5630,560040013
5631,560040005
5638,560090013
5640,560010001
5643,560010001
5646,560040026
5649,560270006
5680,560270006
5654,560220007
5655,560190005
5658,560160015
5659,560390023
5664,560350011
5666,560390040
5668,560160002
5671,560360004
5672,560180003
5690,560180003
5673,560210008
5676,560010014
5677,560350009
5679,560050009
5686,560040008
5687,560030011
7501,750220008
7502,750150001
7503,750330001
7504,750090008
7505,750020007
7506,750390007
7509,750020001
7510,750020001
7511,750030003
7512,750370003
7513,750060005
7514,750060005
7523,750060005
7525,750060005
7527,750060005
7515,750060006
7520,750060006
7517,750180002
7518,750020002
7519,750080007
7521,750210009
7526,750390004
7528,750070010
3001,300350015
3003,300410009
3004,300340015
3005,300290014
3006,300120007
3033,300120007
3007,300500006
3008,300130014
3009,300020002
3011,300070004
3013,300030003
3043,300030003
3064,300030003
3014,300040011
3016,300200016
3017,300040009
3018,300060007
3019,300240006
3050,300240006
3020,300160002
3021,300160001
3022,300470002
3023,300100006
3024,300090007
3025,300170010
3026,300430001
3027,300300007
3028,300190010
3035,300190010
3029,300150012
3030,300010003
3031,300080003
3041,300080003
3059,300080003
3032,300010002
3049,300010002
3034,300290015
3036,300100008
3037,300210008
3038,300060005
3047,300060005
3039,300380012
3040,300400002
3042,300420008
3044,300020010
3052,300020010
3045,300450005
3046,300050010
3051,300020013
3053,300370001
3054,300340019
3055,300370003
3056,300130008
3057,300020018
3058,300350020
3060,300180011
3061,300070007
3062,300280014
3065,300050011
3066,300330014
3067,300390002
3068,300070008
3069,300050003
3070,300040015
701,70260001
702,70150029
703,70030010
704,70290007
705,70150016
706,70150030
707,70020008
708,70130008
709,70010006
711,70010006
713,70080001
730,70080001
714,70150027
715,70150004
716,70160003
725,70160003
717,70220011
718,70030008
719,70340008
720,70320005
721,70150034
722,70100009
723,70140001
724,70230006
726,70060005
727,70110013
728,70230007
729,70040007
731,70090001
732,70150028
733,70360005
734,70010004
735,70110003
737,70200006
738,70120004
740,70120004
739,70060008
741,70050011
742,70020004
743,70310013
744,70100002
1707,170480045
1709,170830003
1745,170830003
1710,170540001
1711,170100439
1713,170160027
1716,170300005
1718,170100432
1719,170170006
1721,170480009
1722,170720001
1724,170330005
1726,170480144
1733,170140445
1743,170140445
1754,170140445
1761,170140445
1770,170140445
1734,170010519
1746,170010519
1748,170010519
1753,170010519
1735,170300004
1736,170390004
1737,170020001
1742,170580002
1744,170100420
1749,170040224
1750,170310008
1751,170270005
1756,170290003
1757,170100125
1760,170100373
1763,170030001
1765,170100430
1773,170840021
1775,170060334
2201,220240014
2204,220030001
2207,220400007
2208,220160006
2214,220160006
2217,220160006
2221,220160006
2233,220160006
2239,220160006
2209,220420002
2211,220500007
2212,220210007
2213,220040017
2216,220360001
2218,220440006
2219,220340010
2220,220370001
2222,220310005
2223,220320002
2224,220040031
2225,220080005
2226,220040030
2235,220040030
2227,220350003
2229,220250008
2230,220050005
2231,220190007
2236,220010003
2237,220020006
2238,220040004
2240,220350001
2241,220020001
